180.163.220.4 - - [17/Jun/2019:14:35:11 +0800] "GET /js/main.js HTTP/1.1" 200 3900 "https://www.todaynewsportal.com/" "Mozilla/5.0 (Linux; U; Android 8.1.0; zh-CN; EML-AL00 Build/HUAWEIEML-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 UCBrowser/11.9.4.974 UWS/2.13.1.48 Mobile Safari/537.36 AliApp(DingTalk/4.5.11) com.alibaba.android.rimet/10487439 Channel/227200 language/zh-CN"
216.244.66.231 - - [08/Apr/2019:23:09:25 +0800] "GET /belafonte-to-receive-honorary-oscar.html HTTP/1.1" 301 - "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
203.208.60.13 - - [08/Apr/2019:23:51:46 +0800] "GET /robots.txt HTTP/1.1" 301 249 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
203.208.60.10 - - [08/Apr/2019:23:51:46 +0800] "GET /robots.txt HTTP/1.1" 200 13972 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
203.208.60.55 - - [08/Apr/2019:23:51:47 +0800] "GET /ads.txt HTTP/1.1" 301 246 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
203.208.60.16 - - [08/Apr/2019:23:51:48 +0800] "GET /ads.txt HTTP/1.1" 200 13973 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
35.192.62.247 - - [09/Apr/2019:00:36:44 +0800] "GET /sys_debug?flush=yes HTTP/1.1" 200 19 "http://www.todaynewsportal.com/sys_debug?flush=yes" "-"
35.192.62.247 - - [09/Apr/2019:00:36:44 +0800] "GET /cms.client.php?act=show_version HTTP/1.1" 200 12 "http://www.todaynewsportal.com/cms.client.php?act=show_version" "-"
35.192.62.247 - - [09/Apr/2019:00:36:44 +0800] "GET /cms.client.php?act=show_file_mode_info HTTP/1.1" 200 4 "http://www.todaynewsportal.com/cms.client.php?act=show_file_mode_info" "-"
35.192.62.247 - - [09/Apr/2019:00:36:45 +0800] "GET / HTTP/1.0" 200 13972 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
217.69.143.63 - - [09/Apr/2019:00:40:23 +0800] "GET /robots.txt HTTP/1.0" 200 13973 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/Img/2.0; +http://go.mail.ru/help/robots)"
